Mass [Mearth]	Radius [Rearth]	WMF core [Mearth]	WMF mantle [Mearth]	WMF atm1 [Mearth]	WMF atm2 [Mearth]	total WMF	Teq [K]
0,499437336	1,498788314	3,68E-03	1,02E-02	0	9,18E-04	3,00E-02	1400
0,783042978	1,415335212	7,73E-03	1,48E-02	0	7,71E-04	3,00E-02	1400
1,15684174	1,40929028	1,51E-02	1,89E-02	0	5,82E-04	3,00E-02	1400
1,634025261	1,433353782	2,71E-02	2,15E-02	0	3,87E-04	3,00E-02	1400
2,226049423	1,477668988	4,45E-02	2,23E-02	0	2,55E-04	3,00E-02	1400
2,94845534	1,54020832	6,89E-02	2,01E-02	0	1,91E-04	3,00E-02	1400
3,810100417	1,608436731	9,72E-02	1,71E-02	0	1,48E-04	3,00E-02	1400
4,82707252	1,680937527	0,130075683	1,51E-02	0	1,24E-04	3,00E-02	1400
6,008667326	1,755035827	0,166328139	1,40E-02	0	1,12E-04	3,00E-02	1400
7,371192343	1,829044061	0,208573543	1,37E-02	0	1,07E-04	3,00E-02	1400
8,928317376	1,903872867	0,254306868	1,35E-02	0	1,06E-04	3,00E-02	1400
10,66645988	1,972808256	0,307183276	1,29E-02	0	1,04E-04	3,00E-02	1400
12,65113152	2,042992839	0,367354153	1,33E-02	0	1,04E-04	3,00E-02	1400
14,85384133	2,112308933	0,432631842	1,24E-02	0	1,03E-04	3,00E-02	1400
19,99270521	2,239941472	0,589409274	1,21E-02	0	9,99E-05	3,00E-02	1400
0,490156825	2,309015915	6,55E-03	3,10E-02	0	9,98E-03	1,00E-01	1400
0,783129789	1,909027962	1,48E-02	5,30E-02	0	1,06E-02	1,00E-01	1400
1,156906419	1,783072805	2,96E-02	7,62E-02	0	9,74E-03	1,00E-01	1400
1,634067215	1,750431155	5,61E-02	9,91E-02	0	8,23E-03	1,00E-01	1400
2,22761869	1,75574362	9,85E-02	0,117042375	0	6,28E-03	1,00E-01	1400
2,948496107	1,77947166	0,159792143	0,130269433	0	4,52E-03	1,00E-01	1400
3,811843182	1,817383092	0,239628953	0,138948882	0	3,15E-03	1,00E-01	1400
4,827658936	1,866112221	0,333542453	0,147667047	0	2,26E-03	1,00E-01	1400
6,009288532	1,925139301	0,439553905	0,161133799	0	1,76E-03	1,00E-01	1400
7,37182813	1,989712956	0,559938892	0,178603864	0	1,50E-03	1,00E-01	1400
8,923790281	2,050560291	0,710601221	0,181329031	0	1,41E-03	1,00E-01	1400
10,68255467	2,116567735	0,878226366	0,188986791	0	1,39E-03	1,00E-01	1400
12,65392295	2,177075089	1,077214661	0,189967901	0	1,39E-03	1,00E-01	1400
14,85257823	2,239673786	1,29487822	0,192408776	0	1,41E-03	1,00E-01	1400
17,30009806	2,302085941	1,536981317	0,196021106	0	1,42E-03	1,00E-01	1400
20,00185337	2,361324126	1,825032945	0,180607229	0	1,45E-03	1,00E-01	1400
0,496291669	3,385978496	7,99E-03	5,46E-02	0	3,67E-02	0,199999995	1400
0,783337175	2,399912345	1,87E-02	9,73E-02	0	4,07E-02	0,199999995	1400
1,157037253	2,124002269	3,84E-02	0,151272031	0	4,20E-02	0,199999995	1400
2,227230397	2,002632827	0,135994784	0,273177356	0	3,58E-02	0,199999995	1400
2,948127806	2,010376241	0,231638824	0,327196273	0	2,98E-02	0,199999995	1400
3,809886047	2,034999736	0,368768846	0,368080803	0	2,34E-02	0,199999995	1400
4,826608822	2,067286474	0,549793224	0,396806479	0	1,75E-02	0,199999995	1400
6,009114109	2,108605276	0,768753166	0,419141025	0	1,30E-02	0,199999995	1400
7,370043696	2,159447955	1,019994152	0,446380956	0	1,00E-02	0,199999995	1400
